BRANCH1,SUBJECT,YEAR,UNIT,QUESTION,OPTION A,OPTION B,OPTION C,OPTION D,ANSWER,BRANCH
CSE,DISCRETE STRUCTURES & THEORY OF LOGIC,2,5,How many permutations can be made from the letters in the word 'COMPUTE'?,7!,6!,8!,5!,7!,CSE-2
IT,DISCRETE STRUCTURES & THEORY OF LOGIC,2,1,What does the term 'POSET' stand for?,Power Set,Partially Ordered Set,Partially Open Set,Positional Set,Partially Ordered Set,IT-2
IT,DISCRETE STRUCTURES & THEORY OF LOGIC,2,1,In a lattice which element is referred to as the 'greatest lower bound'?,Supremum,Infimum,Maximum,Minimum,Infimum,IT-2
IT,DISCRETE STRUCTURES & THEORY OF LOGIC,2,1,What property must a relation satisfy to be an equivalence relation?,"Reflexive, Transitive, and Antisymmetric","Reflexive, Symmetric, and Transitive","Symmetric, Antisymmetric, and Reflexive",Reflexive and Transitive,"Reflexive, Symmetric, and Transitive",IT-2
IT,DISCRETE STRUCTURES & THEORY OF LOGIC,2,2,Which Boolean algebra theorem is represented as A + AB = A?,Absorption Law,De Morgan's Law,Associative Law,Idempotent Law,Absorption Law,IT-2
IT,DISCRETE STRUCTURES & THEORY OF LOGIC,2,2,How many variables are needed for a Karnaugh map with 16 cells?,2,3,4,5,4,IT-2
IT,DISCRETE STRUCTURES & THEORY OF LOGIC,2,2,What is the growth rate of the function f(n) = n^2 + 3n + 2?,O(n),O(n^2),O(n^3),O(log n),O(n^2),IT-2
IT,DISCRETE STRUCTURES & THEORY OF LOGIC,2,3,In propositional logic what is the result of A ∧ ¬A?,TRUE,FALSE,A,Undefined,FALSE,IT-2
IT,DISCRETE STRUCTURES & THEORY OF LOGIC,2,3,What does the term 'predicate' represent in predicate logic?,A statement with no variables,A function that maps variables to truth values,A tautology,A contradiction,A function that maps variables to truth values,IT-2
IT,DISCRETE STRUCTURES & THEORY OF LOGIC,2,3,Which quantifier represents 'there exists'?,∀,∃,¬,∨,∃,IT-2
IT,DISCRETE STRUCTURES & THEORY OF LOGIC,2,4,What is the degree of a vertex in a graph?,The number of edges connected to it,The number of loops on it,The weight of its edges,The distance to the nearest vertex,The number of edges connected to it,IT-2
IT,DISCRETE STRUCTURES & THEORY OF LOGIC,2,4,Which graph is both bipartite and complete?,Multigraph,Cycle Graph,"K_m,n",Tree,"K_m,n",IT-2
IT,DISCRETE STRUCTURES & THEORY OF LOGIC,2,4,How many edges are in a complete graph with n vertices?,n,n(n-1)/2,n^2,n-1,n(n-1)/2,IT-2
IT,DISCRETE STRUCTURES & THEORY OF LOGIC,2,5,If 5 coins are tossed how many possible outcomes are there?,10,16,32,64,32,IT-2
IT,DISCRETE STRUCTURES & THEORY OF LOGIC,2,5,What does the pigeonhole principle imply?,At least one container must remain empty,At least one container must hold more than one item,All containers must hold the same number of items,Containers and items must be equal,At least one container must hold more than one item,IT-2
IT,DISCRETE STRUCTURES & THEORY OF LOGIC,2,5,How many permutations can be made from the letters in the word 'COMPUTE'?,7!,6!,8!,5!,7!,IT-2
CSE,OPERATING SYSTEM,2,1,What is the primary purpose of an operating system?,To manage hardware resources,To execute user programs directly,To compile code,To serve as a database,To manage hardware resources,CSE-2
CSE,OPERATING SYSTEM,2,1,Which type of operating system is designed to handle real-time events?,Batch Processing OS,Time-Sharing OS,Real-Time OS,Multi-User OS,Real-Time OS,CSE-2
CSE,OPERATING SYSTEM,2,1,What does the term 'kernel' refer to in an operating system?,The main hardware component,The core software managing system resources,The user interface,The application manager,The core software managing system resources,CSE-2
CSE,OPERATING SYSTEM,2,2,Which mechanism is used to ensure mutual exclusion in concurrent processes?,Semaphores,Paging,Thrashing,Interrupts,Semaphores,CSE-2
CSE,OPERATING SYSTEM,2,2,What does the term 'critical section' refer to in process synchronization?,A section of code that is always executed,A section of code that accesses shared resources,A section of memory shared between processes,A section of code that must run in parallel,A section of code that accesses shared resources,CSE-2
CSE,OPERATING SYSTEM,2,2,What type of problem is the Dining Philosophers problem an example of?,Deadlock avoidance,Paging,CPU Scheduling,Memory Management,Deadlock avoidance,CSE-2
CSE,OPERATING SYSTEM,2,3,In round-robin scheduling what determines the time a process gets to execute?,Priority,Time quantum,Arrival time,CPU speed,Time quantum,CSE-2
CSE,OPERATING SYSTEM,2,3,What is a key advantage of multilevel queue scheduling?,Faster execution,Separation of processes based on priority,Reduction of deadlocks,Simplified memory management,Separation of processes based on priority,CSE-2
CSE,OPERATING SYSTEM,2,3,Which condition must be met for a deadlock to occur?,"Mutual exclusion, hold and wait, no preemption, circular wait",Infinite loop,Overloaded CPU,Insufficient memory,"Mutual exclusion, hold and wait, no preemption, circular wait",CSE-2
CSE,OPERATING SYSTEM,2,4,Which memory allocation scheme suffers from external fragmentation?,Paging,Segmentation,Virtual Memory,Contiguous Memory Allocation,Segmentation,CSE-2
CSE,OPERATING SYSTEM,2,4,What is 'thrashing' in memory management?,Excessive swapping of pages,Allocating too much memory,A page fault occurring too infrequently,Memory being entirely full,Excessive swapping of pages,CSE-2
CSE,OPERATING SYSTEM,2,4,In a paged memory system what is the purpose of a page table?,To store actual data,To map virtual addresses to physical addresses,To manage cache,To track process priorities,To map virtual addresses to physical addresses,CSE-2
CSE,OPERATING SYSTEM,2,5,Which disk scheduling algorithm minimizes seek time?,FCFS,SSTF,Round-Robin,Priority,SSTF,CSE-2
CSE,OPERATING SYSTEM,2,5,In file systems what does the term 'inode' represent?,File data storage,Metadata about a file,Directory information,A type of file,Metadata about a file,CSE-2
CSE,OPERATING SYSTEM,2,5,What is the key difference between RAID 1 and RAID 5?,"RAID 1 uses striping, while RAID 5 uses mirroring","RAID 1 provides redundancy via mirroring, RAID 5 uses parity",RAID 1 is faster than RAID 5,RAID 5 supports fewer drives than RAID 1,"RAID 1 provides redundancy via mirroring, RAID 5 uses parity",CSE-2
IT,OPERATING SYSTEM,2,1,What is the primary purpose of an operating system?,To manage hardware resources,To execute user programs directly,To compile code,To serve as a database,To manage hardware resources,IT-2
IT,OPERATING SYSTEM,2,1,Which type of operating system is designed to handle real-time events?,Batch Processing OS,Time-Sharing OS,Real-Time OS,Multi-User OS,Real-Time OS,IT-2
IT,OPERATING SYSTEM,2,1,What does the term 'kernel' refer to in an operating system?,The main hardware component,The core software managing system resources,The user interface,The application manager,The core software managing system resources,IT-2
IT,OPERATING SYSTEM,2,2,Which mechanism is used to ensure mutual exclusion in concurrent processes?,Semaphores,Paging,Thrashing,Interrupts,Semaphores,IT-2
IT,OPERATING SYSTEM,2,2,What does the term 'critical section' refer to in process synchronization?,A section of code that is always executed,A section of code that accesses shared resources,A section of memory shared between processes,A section of code that must run in parallel,A section of code that accesses shared resources,IT-2
IT,OPERATING SYSTEM,2,2,What type of problem is the Dining Philosophers problem an example of?,Deadlock avoidance,Paging,CPU Scheduling,Memory Management,Deadlock avoidance,IT-2
IT,OPERATING SYSTEM,2,3,In round-robin scheduling what determines the time a process gets to execute?,Priority,Time quantum,Arrival time,CPU speed,Time quantum,IT-2
IT,OPERATING SYSTEM,2,3,What is a key advantage of multilevel queue scheduling?,Faster execution,Separation of processes based on priority,Reduction of deadlocks,Simplified memory management,Separation of processes based on priority,IT-2
IT,OPERATING SYSTEM,2,3,Which condition must be met for a deadlock to occur?,"Mutual exclusion, hold and wait, no preemption, circular wait",Infinite loop,Overloaded CPU,Insufficient memory,"Mutual exclusion, hold and wait, no preemption, circular wait",IT-2
IT,OPERATING SYSTEM,2,4,Which memory allocation scheme suffers from external fragmentation?,Paging,Segmentation,Virtual Memory,Contiguous Memory Allocation,Segmentation,IT-2
IT,OPERATING SYSTEM,2,4,What is 'thrashing' in memory management?,Excessive swapping of pages,Allocating too much memory,A page fault occurring too infrequently,Memory being entirely full,Excessive swapping of pages,IT-2
IT,OPERATING SYSTEM,2,4,In a paged memory system what is the purpose of a page table?,To store actual data,To map virtual addresses to physical addresses,To manage cache,To track process priorities,To map virtual addresses to physical addresses,IT-2
IT,OPERATING SYSTEM,2,5,Which disk scheduling algorithm minimizes seek time?,FCFS,SSTF,Round-Robin,Priority,SSTF,IT-2
IT,OPERATING SYSTEM,2,5,In file systems what does the term 'inode' represent?,File data storage,Metadata about a file,Directory information,A type of file,Metadata about a file,IT-2
IT,OPERATING SYSTEM,2,5,What is the key difference between RAID 1 and RAID 5?,"RAID 1 uses striping, while RAID 5 uses mirroring","RAID 1 provides redundancy via mirroring, RAID 5 uses parity",RAID 1 is faster than RAID 5,RAID 5 supports fewer drives than RAID 1,"RAID 1 provides redundancy via mirroring, RAID 5 uses parity",IT-2
CSE,THEORY OF AUTOMATA AND FORMAL LANGUAGES,2,1,What is a finite automaton?,A machine that accepts or rejects strings of symbols,A type of programming language,A DATA STRUCTURE,A type of algorithm,A machine that accepts or rejects strings of symbols,CSE-2
CSE,THEORY OF AUTOMATA AND FORMAL LANGUAGES,2,1,Which of the following is a type of context-free grammar?,Regular Grammar,Chomsky Normal Form,Linear Grammar,Unrestricted Grammar,Chomsky Normal Form,CSE-2
CSE,THEORY OF AUTOMATA AND FORMAL LANGUAGES,2,1,What does the pumping lemma for regular languages state?,All regular languages can be pumped,Regular languages are closed under union,Every language is regular,Regular languages cannot be empty,All regular languages can be pumped,CSE-2
CSE,THEORY OF AUTOMATA AND FORMAL LANGUAGES,2,2,What is the main characteristic of a pushdown automaton?,It has a finite number of states,It uses a stack,It can only read input once,It cannot accept empty strings,It uses a stack,CSE-2
CSE,THEORY OF AUTOMATA AND FORMAL LANGUAGES,2,2,Which language is not context-free?,{a^n b^n | n ≥ 0},{a^n b^n c^n | n ≥ 0},{a^n | n ≥ 0},"{a^n b^m | n, m ≥ 0}",{a^n b^n c^n | n ≥ 0},CSE-2
CSE,THEORY OF AUTOMATA AND FORMAL LANGUAGES,2,2,What type of grammar generates regular languages?,Context-Free Grammar,Regular Grammar,Context-Sensitive Grammar,Unrestricted Grammar,Regular Grammar,CSE-2
CSE,THEORY OF AUTOMATA AND FORMAL LANGUAGES,2,3,What is a Turing machine?,A theoretical model of computation,A type of programming language,A DATA STRUCTURE,An algorithm for sorting,A theoretical model of computation,CSE-2
CSE,THEORY OF AUTOMATA AND FORMAL LANGUAGES,2,3,Which of the following problems is undecidable?,Halting Problem,Sorting Problem,Search Problem,Graph Traversal,Halting Problem,CSE-2
CSE,THEORY OF AUTOMATA AND FORMAL LANGUAGES,2,3,What does NP-complete mean?,Problems that can be solved quickly,Problems for which a solution can be verified quickly,Problems that are easy to solve,Problems that cannot be solved,Problems for which a solution can be verified quickly,CSE-2
CSE,THEORY OF AUTOMATA AND FORMAL LANGUAGES,2,4,What is a regular expression?,A sequence of characters defining a search pattern,A type of programming language,A structure for data storage,A method of sorting data,A sequence of characters defining a search pattern,CSE-2
CSE,THEORY OF AUTOMATA AND FORMAL LANGUAGES,2,4,Which operation is not defined for regular languages?,Union,Intersection,Complement,Subtraction,Subtraction,CSE-2
CSE,THEORY OF AUTOMATA AND FORMAL LANGUAGES,2,4,What is the closure property of regular languages?,They are closed under concatenation,They cannot be concatenated,They are closed under exponentiation,They are only closed under union,They are closed under concatenation,CSE-2
CSE,THEORY OF AUTOMATA AND FORMAL LANGUAGES,2,5,Which of the following is a type of formal language?,Natural Language,Programming Language,Mathematical Language,All of the above,All of the above,CSE-2
CSE,THEORY OF AUTOMATA AND FORMAL LANGUAGES,2,5,What is the main purpose of a context-free grammar?,To define programming languages,To describe the syntax of programming languages,To generate random strings,To solve mathematical problems,To describe the syntax of programming languages,CSE-2
CSE,THEORY OF AUTOMATA AND FORMAL LANGUAGES,2,5,Which theorem is used to prove the undecidability of certain languages?,Church-Turing Thesis,Myhill-Nerode Theorem,Rice's Theorem,Pumping Lemma,Rice's Theorem,CSE-2
IT,THEORY OF AUTOMATA AND FORMAL LANGUAGES,2,1,What is a finite automaton?,A machine that accepts or rejects strings of symbols,A type of programming language,A DATA STRUCTURE,A type of algorithm,A machine that accepts or rejects strings of symbols,IT-2
IT,THEORY OF AUTOMATA AND FORMAL LANGUAGES,2,1,Which of the following is a type of context-free grammar?,Regular Grammar,Chomsky Normal Form,Linear Grammar,Unrestricted Grammar,Chomsky Normal Form,IT-2
IT,THEORY OF AUTOMATA AND FORMAL LANGUAGES,2,1,What does the pumping lemma for regular languages state?,All regular languages can be pumped,Regular languages are closed under union,Every language is regular,Regular languages cannot be empty,All regular languages can be pumped,IT-2
IT,THEORY OF AUTOMATA AND FORMAL LANGUAGES,2,2,What is the main characteristic of a pushdown automaton?,It has a finite number of states,It uses a stack,It can only read input once,It cannot accept empty strings,It uses a stack,IT-2
IT,THEORY OF AUTOMATA AND FORMAL LANGUAGES,2,2,Which language is not context-free?,{a^n b^n | n ≥ 0},{a^n b^n c^n | n ≥ 0},{a^n | n ≥ 0},"{a^n b^m | n, m ≥ 0}",{a^n b^n c^n | n ≥ 0},IT-2
IT,THEORY OF AUTOMATA AND FORMAL LANGUAGES,2,2,What type of grammar generates regular languages?,Context-Free Grammar,Regular Grammar,Context-Sensitive Grammar,Unrestricted Grammar,Regular Grammar,IT-2
